id,version,seed_id,zoo_id,n_example,canvasdata,actiondata,gen_code_18
3,1.0,3.0,8.0,6.0,"[{'id': 'prim0', 'transformstr': 't660,300r90,0,0s3,3,0,0'}, {'id': 'prim0', 'transformstr': 't540,360r-90,0,0s3,3,0,0'}, {'id': 'prim1', 'transformstr': 't600,360r90,0,0s3,3,0,0'}]","[{'create': 'prim0'}, {'create': 'prim0'}, {'create': 'prim3'}, {'rotate': 'prim0'}, {'rotate': 'prim0'}, {'rotate': 'prim0'}, {'rotate': 'prim0'}, {'delete': 'prim3'}, {'create': 'prim1'}, {'rotate': 'prim1'}, {'rotate': 'prim1'}, {'rotate': 'prim1'}, {'rotate': 'prim1'}, {'rotate': 'prim1'}, {'bind': []}]",AA0B1+270
3,1.0,3.0,10.0,6.0,"[{'id': 'prim0', 'transformstr': 't600,360r-90,0,0s3,3,0,0'}, {'id': 'prim2', 'transformstr': 't660,300r90,0,0s3,3,0,0'}]","[{'create': 'prim0'}, {'rotate': 'prim0'}, {'rotate': 'prim0'}, {'rotate': 'prim0'}, {'create': 'prim2'}, {'rotate': 'prim2'}, {'bind': ['prim0', 'prim2']}, {'bind': ['prim0', 'prim2']}]",AC3+90
3,1.0,3.0,19.0,6.0,"[{'id': 'prim1', 'transformstr': 't480,300s3,3,0,0'}, {'id': 'prim0', 'transformstr': 't480,240s3,3,0,0'}]","[{'create': 'prim0'}, {'create': 'prim1'}, {'bind': ['prim1', 'prim0']}]",AB5+0
3,1.0,3.0,5.0,6.0,"[{'id': 'prim0', 'transformstr': 't420,420r-90,0,0s3,3,0,0'}, {'id': 'prim0', 'transformstr': 't480,120r90,0,0s3,3,0,0'}]","[{'create': 'prim0'}, {'create': 'prim0'}, {'rotate': 'prim0'}, {'rotate': 'prim0'}, {'rotate': 'prim0'}, {'rotate': 'prim0'}, {'bind': ['prim0', 'prim0']}]",AA3+270
3,1.0,3.0,12.0,6.0,"[{'id': 'prim0', 'transformstr': 't480,540r-90,0,0s3,3,0,0'}, {'id': 'prim0', 'transformstr': 't660,360r90,0,0s3,3,0,0'}]","[{'create': 'prim0'}, {'rotate': 'prim0'}, {'rotate': 'prim0'}, {'rotate': 'prim0'}, {'create': 'prim0'}, {'rotate': 'prim0'}, {'bind': ['prim0', 'prim0']}]",AA0+270
3,1.0,3.0,11.0,6.0,"[{'id': 'prim0', 'transformstr': 't600,300s3,3,0,0'}]",[{'create': 'prim0'}],A+0
3,1.0,3.0,9.0,6.0,"[{'id': 'prim0', 'transformstr': 't540,360s3,3,0,0'}, {'id': 'prim0', 'transformstr': 't660,360s3,3,0,0'}, {'id': 'prim1', 'transformstr': 't720,420r90,0,0s3,3,0,0'}]","[{'create': 'prim0'}, {'create': 'prim0'}, {'create': 'prim1'}, {'rotate': 'prim1'}, {'bind': ['prim0', 'prim0', 'prim1']}, {'bind': ['prim0', 'prim0', 'prim1']}]",AA3B0+0
3,1.0,3.0,0.0,6.0,"[{'id': 'prim0', 'transformstr': 't780,300r90,0,0s3,3,0,0'}]","[{'create': 'prim0'}, {'rotate': 'prim0'}]",A+270
3,1.0,3.0,13.0,6.0,"[{'id': 'prim3', 'transformstr': 't600,360s3,3,0,0'}]",[{'create': 'prim3'}],D+0
3,1.0,3.0,1.0,6.0,"[{'id': 'prim1', 'transformstr': 't540,360s3,3,0,0'}, {'id': 'prim0', 'transformstr': 't480,300s3,3,0,0'}]","[{'create': 'prim1'}, {'create': 'prim0'}, {'bind': ['prim1', 'prim0']}]",AB8+0
3,1.0,3.0,7.0,6.0,"[{'id': 'prim2', 'transformstr': 't660,300s3,3,0,0'}, {'id': 'prim2', 'transformstr': 't540,300s3,3,0,0'}, {'id': 'prim0', 'transformstr': 't660,480r-90,0,0s3,3,0,0'}]","[{'create': 'prim0'}, {'create': 'prim2'}, {'create': 'prim2'}, {'rotate': 'prim0'}, {'rotate': 'prim0'}, {'rotate': 'prim0'}, {'bind': ['prim2', 'prim2', 'prim0']}]",AC0C6+90
3,1.0,3.0,14.0,6.0,"[{'id': 'prim1', 'transformstr': 't600,360s3,3,0,0'}, {'id': 'prim0', 'transformstr': 't600,420s3,3,0,0'}]","[{'create': 'prim1'}, {'create': 'prim0'}, {'bind': ['prim1', 'prim0']}]",AB1+0
3,1.0,3.0,2.0,6.0,"[{'id': 'prim0', 'transformstr': 't720,480r180,0,0s3,3,0,0'}, {'id': 'prim1', 'transformstr': 't660,300r90,0,0s3,3,0,0'}]","[{'create': 'prim2'}, {'delete': 'prim2'}, {'create': 'prim0'}, {'create': 'prim1'}, {'rotate': 'prim0'}, {'rotate': 'prim0'}, {'rotate': 'prim1'}, {'bind': ['prim0', 'prim1']}]",AB0+180
3,1.0,3.0,18.0,6.0,"[{'id': 'prim1', 'transformstr': 't480,360s3,3,0,0'}, {'id': 'prim0', 'transformstr': 't480,420r-90,0,0s3,3,0,0'}]","[{'create': 'prim0'}, {'create': 'prim1'}, {'rotate': 'prim0'}, {'rotate': 'prim0'}, {'rotate': 'prim0'}, {'bind': ['prim1', 'prim0']}]",AB4+90
3,1.0,3.0,20.0,6.0,"[{'id': 'prim1', 'transformstr': 't720,420r180,0,0s3,3,0,0'}, {'id': 'prim0', 'transformstr': 't720,240r90,0,0s3,3,0,0'}]","[{'create': 'prim0'}, {'create': 'prim1'}, {'rotate': 'prim1'}, {'rotate': 'prim1'}, {'rotate': 'prim0'}, {'bind': ['prim1', 'prim0']}]",AB0+270
3,1.0,3.0,16.0,6.0,"[{'id': 'prim0', 'transformstr': 't600,240s3,3,0,0'}, {'id': 'prim0', 'transformstr': 't660,180r90,0,0s3,3,0,0'}]","[{'create': 'prim0'}, {'create': 'prim0'}, {'rotate': 'prim0'}, {'bind': ['prim0', 'prim0']}]",AA5+270
3,1.0,3.0,6.0,6.0,"[{'id': 'prim1', 'transformstr': 't600,300s3,3,0,0'}, {'id': 'prim2', 'transformstr': 't660,240r90,0,0s3,3,0,0'}, {'id': 'prim0', 'transformstr': 't480,240s3,3,0,0'}]","[{'create': 'prim0'}, {'create': 'prim2'}, {'create': 'prim1'}, {'rotate': 'prim2'}, {'bind': ['prim1', 'prim2', 'prim0']}]",AC0B6+0
3,1.0,3.0,15.0,6.0,"[{'id': 'prim1', 'transformstr': 't660,300r90,0,0s3,3,0,0'}, {'id': 'prim0', 'transformstr': 't720,300r90,0,0s3,3,0,0'}]","[{'create': 'prim0'}, {'create': 'prim1'}, {'bind': ['prim1', 'prim0']}]",AB0+270
